surname,frequency,reason
DR.N.V.RAMANA,1,artifact/first_name
MD,1,artifact/first_name
V.MALLESWARI,1,artifact/first_name
SOUJANYA.NAPPALLI,1,artifact/first_name
SARADA,1,artifact/first_name
SK.LATIFPUN,1,artifact/first_name
AJAY,1,artifact/first_name
T.V.GREESHMA,1,artifact/first_name
T.V.RESHMA,1,artifact/first_name
735,1,artifact/first_name
(TTD),1,artifact/first_name
08,1,artifact/first_name
272,1,artifact/first_name
35,1,artifact/first_name
745,1,artifact/first_name
V.RAMARAO,1,artifact/first_name
RADHIKA,1,artifact/first_name
T.VISHNU,1,artifact/first_name
MAHESH,1,artifact/first_name
KODALI.LAKSHMI,1,artifact/first_name
RADHA,1,artifact/first_name
MJ,1,artifact/first_name
K.RAGHAVENDRA,1,artifact/first_name
RAMBABU,1,artifact/first_name
UDAY,1,artifact/first_name
